GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
1039967929,20220418,202204,2022,2022.2959,RUS,RUSSIAN,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,1124,112,11,3,-2.0,8,2,8,-5.17351260227787,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20220418,https://www.khaleejtimes.com/world/putin-honours-brigade-accused-by-ukraine-of-war-crimes,20220418180000,20220418231500,1,7thspace.com,http://7thspace.com/headlines/1820333/rthk__putin_honours_brigade_accused_of_war_crimes.html,3,105,215,204,0,40,1489,-5.37190082644628,,
1039916412,20220418,202204,2022,2022.2959,USA,UNITED STATES,USA,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,112,112,11,3,-2.0,4,1,4,-6.42857142857143,1,United States,US,US,39.828175,-98.5795,US,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,1,Russia,RS,RS,60.0,100.0,RS,20220418,http://english.chinamil.com.cn/view/2022-04/18/content_10148837.htm,20220418111500,20220418111500,1,chinamil.com.cn,http://english.chinamil.com.cn/view/2022-04/18/content_10148837.htm,3,653,809,874,0,40,1724,-6.42857142857143,,
1039885357,20220418,202204,2022,2022.2959,IGOEUREEC,THE EUROPEAN UNION,EUR,EEC,,,,IGO,,,RUS,RUSSIA,RUS,,,,,,,,1,73,73,7,2,7.4,10,2,10,-1.75990916597853,1,Moldova,MD,MD,47.0,29.0,MD,1,Russia,RS,RS,60.0,100.0,RS,1,Moldova,MD,MD,47.0,29.0,MD,20220418,http://famagusta-gazette.com/2022/04/18/eu-to-provide-another-50-mln-euros-of-humanitarian-aid-to-ukraine-moldova/,20220418064500,20220418064500,1,famagusta-gazette.com,http://famagusta-gazette.com/2022/04/18/eu-to-provide-another-50-mln-euros-of-humanitarian-aid-to-ukraine-moldova/,2,106,239,131,1,50,1085,-1.73410404624277,,
1039907619,20220418,202204,2022,2022.2959,RUS,RUSSIA,RUS,,,,,,,,UKR,DONBAS,UKR,,,,,,,,1,73,73,7,2,7.4,10,1,10,5.88235294117647,4,"Donbass, Ukraine (general), Ukraine",UP,UP00,48.5,38.5,-1038077,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Donbass, Ukraine (general), Ukraine",UP,UP00,48.5,38.5,-1038077,20220418,http://sana.sy/en/?p=269680,20220418100000,20220418100000,1,sana.sy,http://sana.sy/en/?p=269680,1,0,44,7,1,100,481,5.88235294117647,,
1039931700,20220418,202204,2022,2022.2959,RUS,RUSSIAN,RUS,,,,,,,,UKR,UKRAINIAN,UKR,,,,,,,,1,10,10,1,1,0.0,12,1,12,-8.23170731707317,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Bryansk, Bryanskaya Oblast', Russia",RS,RS10,53.2521,34.3717,-2893495,4,"Bryansk, Bryanskaya Oblast', Russia",RS,RS10,53.2521,34.3717,-2893495,20220418,http://ukrainianjournal.com/index.php?w=article&id=34972,20220418131500,20220418131500,1,ukrainianjournal.com,http://ukrainianjournal.com/index.php?w=article&id=34972,4,1058,1137,1116,1,60,2182,-8.23170731707317,,
1039903741,20220418,202204,2022,2022.2959,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINIAN,UKR,,,,,,,,1,80,80,8,2,5.0,162,30,162,-4.76824455314292,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Kharkiv, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.9808,36.2527,-1041320,4,"Kharkiv, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.9808,36.2527,-1041320,20220418,https://www.caledonianrecord.com/news/national/live-updates-6-dead-11-wounded-in-russian-strikes-on-lviv/article_1bf29d9b-8d00-5590-a6ba-4c47b37714e4.html,20220418093000,20220418094500,1,ccenterdispatch.com,http://www.ccenterdispatch.com/news/national/article_d5447d6d-e9f6-5a0f-a3c8-ca12f1d3e876.html,6,1026,1067,1055,1,50,6121,-4.95156081808397,,
1039885357,20220418,202204,2022,2022.2959,IGOEUREEC,THE EUROPEAN UNION,EUR,EEC,,,,IGO,,,RUS,RUSSIA,RUS,,,,,,,,1,73,73,7,2,7.4,10,2,10,-1.75990916597853,1,Moldova,MD,MD,47.0,29.0,MD,1,Russia,RS,RS,60.0,100.0,RS,1,Moldova,MD,MD,47.0,29.0,MD,20220418,http://famagusta-gazette.com/2022/04/18/eu-to-provide-another-50-mln-euros-of-humanitarian-aid-to-ukraine-moldova/,20220418064500,20220418094500,1,ecns.cn,http://www.ecns.cn/news/2022-04-18/detail-ihaxmtii6884700.shtml,2,74,207,99,1,50,1078,-1.78571428571429,,
1039941043,20220418,202204,2022,2022.2959,UKR,UKRAINIAN,UKR,,,,,,,,UKRGOV,UKRAINE,UKR,,,,,GOV,,,1,120,120,12,3,-4.0,4,1,4,-2.89473684210526,4,"Donbas, Ukraine (general), Ukraine",UP,UP00,48.5,38.5,-1038077,4,"Donbas, Ukraine (general), Ukraine",UP,UP00,48.5,38.5,-1038077,4,"Donbas, Ukraine (general), Ukraine",UP,UP00,48.5,38.5,-1038077,20220418,http://www.econotimes.com/Russia-Ukraine-conflict-Volodymyr-Zelenskyy-says-Ukraine-will-put-up-resistance-in-the-east-1631599,20220418143000,20220418143000,1,econotimes.com,http://www.econotimes.com/Russia-Ukraine-conflict-Volodymyr-Zelenskyy-says-Ukraine-will-put-up-resistance-in-the-east-1631599,2,210,247,288,0,40,2179,-2.89473684210526,,
1039933701,20220418,202204,2022,2022.2959,UKR,UKRAINIAN,UKR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,164,164,16,4,-7.0,4,1,2,-3.08641975308642,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220418,http://www.koreatimes.co.kr/www/world/2022/04/501_327566.html,20220418133000,20220418133000,1,koreatimes.co.kr,http://www.koreatimes.co.kr/www/world/2022/04/501_327566.html,3,253,325,304,0,40,2047,-3.08641975308642,,
1039912839,20220418,202204,2022,2022.2959,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,72,72,7,2,8.3,24,3,24,-0.432900432900433,4,"Kremlin, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,1,Ukraine,UP,UP,49.0,32.0,UP,4,"Kremlin, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220418,http://www.msn.com/en-nz/news/world/kremlin-says-ukraine-is-not-consistent-when-it-comes-to-peace-talks/ar-AAWkrLX,20220418104500,20220418104500,1,msn.com,http://www.msn.com/en-nz/news/world/kremlin-says-ukraine-is-not-consistent-when-it-comes-to-peace-talks/ar-AAWkrLX,7,758,786,765,1,80,924,-1.2987012987013,,
